,0
732,7-18103438            
733,7-18103438            
734,7-18151168            
735,7-18151168            
736,7-18151168            
737,7-18151168            
738,7-18222183            
739,7-18222183            
740,7-18222183            
741,7-18222183            
742,7-18570872            
743,7-18570872            
744,7-18570872            
745,7-18570872            
746,7-18614072            
747,7-18614072            
748,7-18614072            
749,7-18614072            
750,7-18492546            
751,7-18492546            
752,7-18492546            
753,7-18492546            
754,7-18278956            
755,7-18278956            
756,7-18278956            
757,7-18278956            
758,7-18259976            
759,7-18259976            
760,7-18259976            
761,7-18259976            
762,7-18585072            
763,7-18585072            
764,7-18585072            
765,7-18585072            
766,7-18312685            
767,7-18312685            
768,7-18312685            
769,7-18312685            
770,7-18558849            
771,7-18558849            
772,7-18558849            
773,7-18558849            
774,54-45972427           
775,7-17814633            
776,3-12196000            
777,7-17779123            
778,7-17982066            
779,7-17450545            
780,7-17885228            
781,7-17770791            
782,54-46661637           
783,54-45969829           
784,7-17760889            
785,7-17642965            
786,7-17782548            
787,7-17650862            
788,7-17733939            
789,7-17704751            
790,7-17763323            
791,7-17771220            
792,7-17398443            
793,7-17712562            
794,7-17684917            
795,7-17888076            
796,7-17892225            
797,7-17744067            
798,7-17723412            
799,7-17738898            
800,7-17890789            
801,7-17704819            
802,7-17436604            
803,7-17436604            
804,7-17385440            
805,7-17385440            
806,3-10042073            
807,3-10042073            
808,7-17475264            
809,7-17475264            
810,7-17516976            
811,7-17516976            
812,55-2102619209901996160
813,3-8333901             
814,3-8333901             
815,7-17129068            
816,7-17129068            
817,3-8105959             
818,7-17463101            
819,7-17463101            
820,7-17447970            
821,7-17447970            
822,7-17607045            
823,7-17607045            
824,7-17501507            
825,7-17501507            
826,7-17510741            
827,7-17510741            
828,7-17439772            
829,7-17439772            
830,7-17499048            
831,7-17499048            
832,7-17199847            
833,7-17199847            
834,7-17562121            
835,7-17562121            
836,7-17452200            
837,7-17452200            
838,7-17619289            
839,7-17619289            
840,7-17499561            
841,7-17459185            
842,7-17459185            
843,7-17451036            
844,7-17538159            
845,7-17442690            
846,3-8565058             
847,3-8565058             
848,3-8106721             
849,3-8106721             
850,7-17210678            
851,3-7877507             
852,3-9779936             
853,3-9282026             
854,3-8800400             
855,3-9529784             
856,3-9530231             
857,7-17161813            
858,7-17079971            
859,7-17098328            
860,7-17212210            
861,7-17146410            
862,3-9779780             
863,3-14243644            
864,3-14243644            
865,7-18251762            
866,7-18584558            
867,7-18584558            
868,54-45999038           
869,54-45999038           
870,7-18616295            
871,7-18616295            
872,55-2073505035358711552
873,54-46005280           
874,54-46005280           
875,54-46000050           
876,54-46000050           
877,54-45994934           
878,54-45994934           
879,7-18569278            
880,7-18569278            
881,7-18402929            
882,7-18402929            
883,54-46003694           
884,54-46003694           
885,54-46002654           
886,54-46002654           
887,7-18083639            
888,7-18083639            
889,7-18620308            
890,7-18620308            
891,7-18166516            
892,7-18166516            
893,7-18231992            
894,7-18231992            
895,7-18091422            
896,7-18091422            
897,7-18294973            
898,7-18079671            
899,7-18090562            
900,7-18593168            
901,54-45998201           
902,7-18475092            
903,7-18093829            
904,7-18093829            
905,7-18272526            
906,7-18163674            
907,7-18163674            
908,7-18110618            
909,7-18110618            
910,54-46001406           
911,54-46001406           
912,7-17760137            
913,7-17760137            
914,7-17929533            
915,7-17929533            
916,7-18175461            
917,7-18175461            
918,7-17857102            
919,7-17857102            
920,3-16238831            
921,3-16238831            
922,54-44685845           
923,54-44685845           
924,55-2076373386312553088
925,55-2076373386312553088
926,54-45105347           
927,54-45105347           
928,7-18238141            
929,7-18238141            
930,7-17951204            
931,7-17951204            
932,3-16245521            
933,3-16245521            
934,7-17974607            
935,7-17974607            
936,7-17691040            
937,7-17691040            
938,7-17952302            
939,7-17952302            
940,7-18293842            
941,7-18293842            
942,7-17913547            
943,7-17913547            
944,7-17680406            
945,7-17680406            
946,7-17773869            
947,7-17773869            
948,7-17725426            
949,7-17725426            
950,7-18233032            
951,7-18233032            
952,7-17949452            
953,7-17949452            
954,7-18079671            
